QKEY,INTERVIEW_START_W74,INTERVIEW_END_W74,DEVICE_TYPE_W74,LANG_W74,FORM_W74,TOPICINT_a_W74,TOPICINT_b_W74,TOPICINT_c_W74,TOPICINT_d_W74,TOPICINT_e_W74,INEQATTN_W74,RACECONV_W74,EDUCRACE_W74,MINBUS_W74,COMMDIV_W74,COVID_SCI6E_W74,NOCVACC_a_W74,NOCVACC_b_W74,NOCVACC_c_W74,NOCVACC_d_W74,VACCNCRN_a_W74,VACCNCRN_b_W74,VACCNCRN_c_W74,VACCNCRN_d_W74,VACCNFDT_W74,VACCDEV_W74,VACCHAPPEN_a_W74,VACCHAPPEN_b_W74,VACCHAPPEN_c_W74,RACESURV5_a_W74,RACESURV5_b_W74,RACESURV5_c_W74,RACESURV5_d_W74,RACESURV5_i_W74,RACESURV5_j_W74,RACESURV6_W74,RACESURV12_W74,RACESURV13_W74,RACATTN_W74,RACESURV28_a_W74,RACESURV28_b_W74,RACESURV28_c_W74,RACESURV28_d_W74,RACESURV28_f_W74,RACESURV28_g_W74,IMPPEOPLE_a_W74,IMPPEOPLE_b_W74,IMPPEOPLE_c_W74,IMPPEOPLE_d_W74,IMPPEOPLE_e_W74,IMPPEOPLE_f_W74,REDRACIALINEQ_a_W74,REDRACIALINEQ_b_W74,REDRACIALINEQ_c_W74,REDRACIALINEQ_d_W74,REDRACIALINEQ_e_W74,REDRACIALINEQ_f_W74,REDRACIALINEQOTH_M1,REDRACIALINEQOTH_M2,REDRACIALINEQOTH_M3,REDRACIALINEQOTH_REFUSED_W74,BLM_W74,RACECHNG_W74,IMPLIVES_W74,POLICYCHNG_W74,SNSUSE_W74,POSTRACE_W74,POSTMOTIVE_a_W74,POSTMOTIVE_b_W74,JOKE1_W74,CANCUL1_W74,CANCUL2_W74,SMPOLAD1_W74,SMPOLAD2_W74,AVOIDPT1_W74,AVOIDPT2_a_W74,AVOIDPT2_b_W74,AVOIDPT2_c_W74,AVOIDPT2_d_W74,AVOIDPT2_e_W74,PROB1a_W74,SMSUEOH_W74,OHCONS_a_W74,OHCONS_b_W74,OHCONS_c_W74,OHCONS_d_W74,OHCONS_e_W74,SMOH_W74,ON7_a_W74,ON7_b_W74,ON7_c_W74,ON7_d_W74,ON7_e_W74,ON7_h_W74,IDENTITY_a_W74,IDENTITY_c_W74,IDENTITY_d_W74,IDENTITY_e_W74,IDENTITY_f_W74,ON7REC_a_W74,ON7REC_b_W74,ON7REC_c_W74,ON7REC_d_W74,ON7REC_e_W74,ON7REC_h_W74,ON10_W74,ON12_a_W74,ON12_b_W74,ON12_e_W74,ON12_f_W74,ON12_g_W74,ON12_h_W74,YOU1_W74,F_METRO,F_CREGION,F_CDIVISION,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_BIRTHPLACE2,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO,F_INC_SDT1,F_REG,F_IDEO,F_INTFREQ,F_VOLSUM,RACATTN_W43,RACESURV5a_W43,RACESURV5b_W43,RACESURV5c_W43,RACESURV5d_W43,RACESURV5i_W43,RACESURV5j_W43,RACESURV6_W43,RACESURV12_W43,RACESURV13_W43,RACESURV28a_W43,RACESURV28b_W43,RACESURV28c_W43,RACESURV28d_W43,RACESURV28f_W43,RACESURV28g_W43,COVID_SCI6E_W67,WEIGHT_W43_W74,WEIGHT_W67_W74,WEIGHT_W74
102009,9/9/2020 16:27:19,9/9/2020 17:06:54,3,1,2,1,1,1,1,3,1,2,2,1,2,3,1,3,3,1, , , , ,3,1,3,3,1,1,3,3,3,1,3,2,2,3,2,1,1,1,1,1,1,2,1,1,2,2,2,3,2,2,1,2,2,7, , ,1,2,1, ,1,2, , , ,1,1,2,3,4, , , , , , ,1,1,1,2,1,1,1,4,1,2,1,1,1,2,2,2,1,1,2,1, ,2,2,2, ,3,1,2,2,1,1,1,1,1,3,7,4,1,2,3,2, ,1,1,1,1,1,1,12, ,3,6,2, ,2,4,7,1,4,1,1, , , , , , , , , , , , , , , , ,2, ,.218739898082787,.224856361217997
102932,9/11/2020 15:53:16,9/11/2020 16:16:29,1,1,1,1,1,1,1,4,1,1,1,2,3,2, , , , ,3,3,2,3,2,1,1,2,2,1,4,3,5,1,3,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,3,1, , , ,99,1,2,1, ,1,3,1,3,1,1,3,2,3,1, , , , , ,1,2,3,3,1,3,2,4,1,2,2,2,1,2,2,2,1,2,2,2, , , ,1, ,4,1,2,2,2,2,1,3,2,3,7,4,1,1,6,2, ,1,1,1,1,1,1,11, ,4,6,2, ,2,4,9,1,4,2,1, , , , , , , , , , , , , , , , ,1, ,.20142724833558,.167473276931858
103060,9/9/2020 22:13:55,9/10/2020 2:41:31,1,1,1,1,1,1,1,2,1,2,2,4,1,4,1,3,3,1, , , , ,4,1,4,4,1,1,4,1,4,1,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,2,4,8,6,3,1,1,1,1, ,2, , , ,1,2,4,3,4, , , , , , ,1,2,4,4,1,1,4,3,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,3,5,4,2,2,4,2, ,99,1,1,1,99,1,2,2,2,6,2, ,2,9,1,99,99,99,1, , , , , , , , , , , , , , , , ,1, ,.406312687659237,.470878565046515
103094,9/9/2020 22:05:26,9/9/2020 22:11:31,2,1,1,1,1,4,1,4,1,4,2,2,3,1, , , , ,3,1,1,1,3,2,2,2,2,2,2,3,2,2,4,1,1, ,99,3,1,2,3,2,3,4,4,4,4,4,4, , , , , , , , , ,0,2,2,1, ,99, , , ,1,99,3,2,3, , , , , , ,99,1,3,3,3,2,3,2,99,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,1,2,2,2,3,2,2, ,1,1,1,1,1,3,2,2,2,4,3,1,1,2,2,3,3,1,2,2,3,2,2,2, , ,1, , ,1,1,1,1,2,1,1,1.41779786168183,2.52881988684738,2.51110143564679
103379,9/11/2020 15:45:40,9/11/2020 16:25:55,3,1,2,4,1,1,2,4,2,4,4,4,2,1, , , , ,3,3,3,3,1,2,2,2,3,5,5,3,3,2,2,1,1, ,1,3,3,2,3,2,2,4,4,4,4,4,4, , , , , , , , , ,0,4,3, ,2,2, , , ,2,2,2,2,3, , , , , , ,2,1,1,1,1,1,1,4,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,3,5,4,1,2,3,2, ,1,1,1,1,1,1,1,1,1,2,1, ,1,1,9,1,2,5,1,1,5,5,3,5, , ,1, , ,1,3,1,1,2,3,1,4.03585378007882,.639815073197125,.58515768422877
103406,9/9/2020 19:15:52,9/9/2020 19:32:33,2,1,1,1,1,2,2,4,1,3,2,3,3,2, , , , ,2,2,1,3,2,1,3,2,2,1,3,3,3,1,3,2,3, ,3,1,3,1,1,1,1,1,2,2,2,2,2, , , , , , , , , ,0,1,2,1, ,1,2,2,2,1,1,2,3,3,2, , , , , ,1,1,2,3,2,2,2,4,1,2,2,2,1,2,1,2,1,2,2,1, , , ,1, ,2,1,2,2,2,2,2,1,1,3,5,2,2,1,6,2, ,1,1,1,1,1,1,2,2,2,3,2, ,2,4,9,1,4,1,1, , , , , , , , , , , , , , , , ,2, ,.349288028669706,.37730199192827
103519,9/12/2020 19:17:03,9/12/2020 19:41:04,2,1,2,1,1,1,1,2,1,3,3,2,3,2, , , , ,3,3,3,3,2,1,3,3,3,1,4,3,2,5,3,2,3, ,3,1,1,3,1,3,1,1,2,2,2,1,1, , , , , , , , , ,0,2,2, ,2,2, , , ,1,1,2,2,4, , , , , , ,1,2,2,1,1,3,1,3,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,2,3,3,1,1,6,2, ,1,1,1,1,1,1,10, ,3,3,3,2,2,3,9,1,3,1,1, , , , , , , , , , , , , , , , ,1, ,.178328799586486,.185969143369335
103538,9/10/2020 15:52:12,9/10/2020 16:14:15,1,1,2,2,2,2,1,2,3,5,3,4,3,2, , , , ,3,3,2,3,2,1,3,3,2,2,3,3,2,5,5,2,2,2,3,3,3,3,3,1,1,3,4,3,3,4,4,4,3,3,2,3,3,9, , ,1,2,2, ,99,2, , , ,1,99,4,3,4, , , , , , ,99,99,2,1,1,2,2,99,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,4,8,4,1,1,5,2, ,1,1,1,1,1,1,5, ,4,5,3,2,2,3,9,1,3,2,2,3,5,5,5,5,3,1,2,3, ,3,3,3, ,3,3,1,.311293045953489,.325269996608447,.365283226758803
103677,9/9/2020 21:51:44,9/12/2020 15:51:02,2,1,2,1,1,1,1,3,3,2,2,4,1,1, , , , ,2,3,3,3,1,2,1,2,2,3,5,5,2,3,2,1,1, ,1,3,3,2,3,3,3,3,1,3,4,3,2, , , , , , , , , ,0,4,3, ,2,1,1,3,1,1,2,1,1,4,4,1,3,3,1,1,1,2,4,4,4,4,1,3,1,1,2,2,1,2,2,2,1,2,1,1,2, , ,2, ,1,1,2,2,2,2,2,2,1,1,2,2,1,2,3,2, ,1,1,1,1,1,1,2,2,2,4,1, ,1,1,9,1,1,1,1, , , , , , , , , , , , , , , , ,1, ,.763240311181899,.767831384380512
103956,9/10/2020 16:56:28,9/10/2020 17:07:47,1,1,1,1,1,2,1,3,3,2,2,2,2,3,3,3,3,1, , , , ,2,1,4,4,1,1,4,4,2,1,4,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,2,2,1, , , ,99,1,1,1, ,2, , , ,1,1,2,3,3, , , , , , ,2,1,2,1,2,2,1,3,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,2,3,4,2,1,5,2, ,1,1,1,1,1,2,11, ,4,5,2, ,2,4,8,1,4,2,2,2,1,4,3,2,1,4,2,2,3,1,1,1, ,1,1,1,.306967181762727,.323212598227415,.282922787691468
104210,9/10/2020 19:00:42,9/10/2020 19:12:44,2,1,2,1,2,1,2,4,3,2,2,2,2,3,1,3,3,1, , , , ,3,1,4,4,4,1,4,4,3,1,4,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,3,3,1,1,1, , , ,99,1,1, ,1,2, , , ,1,1,3,3,4, , , , , , ,2,2,1,1,1,1,1,3,2,2,2,2,2,1,1,2,2,2,2, , , , , , ,5,1,2,2,2,2,2,1,1,1,2,2,2,3,2,2, ,1,1,1,1,1,2,12, ,3,6,2, ,2,4,1,1,5,1,2,2,1,4,4,2, , ,2, , ,1,1,1,1,1,1,1,.66712431489898,1.08279388233608,1.21471213443586
104272,9/9/2020 17:34:09,9/9/2020 17:57:36,1,1,2,1,3,2,2,3,3,2,1,1,3,3,1,2,3,1, , , , ,2,1,1,2,2,1,4,4,4,2,3,2,2,3,2,3,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,2, , , ,99,1,2, ,1,1,2,1,3,1,1,1,3,4,3,2,3,3,3,2,2,1,1,1,1,1,1,3,1,2,2,2,2,2,2,2,2,2,2, , , , , , ,5,1,2,2,2,2,2,2,1,2,3,2,1,2,3,2, ,1,1,1,1,1,1,10, ,3,5,2, ,2,4,9,1,4,1,2, , , , , , , , , , , , , , , , ,2, ,.539376786136839,.560214707558464
104368,9/9/2020 19:31:55,9/9/2020 20:50:55,1,1,1,1,1,2,1,3,1,3,3,3,4,2, , , , ,2,3,3,3,1,1,3,3,2,1,3,4,1,3,1,2,3, ,3,1,3,1,1,3,1,2,1,2,1,2,1, , , , , , , , , ,0,2,2,1, ,1,3,1,4,1,1,3,3,4,3,3,1,3,3,3,2,2,1,1,1,1,1,4,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,3,7,4,1,3,2,2, ,1,1,1,1,1,5,1,1,1,1,3,1,1,1,1,1,2,3,1,1,1,4,3,2, , ,2, , ,1,1,1,1,3,1,1,.656967869399885,1.48385276414512,1.80786103582456
104491,9/10/2020 15:28:36,9/10/2020 15:55:01,1,1,1,2,2,2,1,2,3,3,2,3,2,3,1,2,2,1, , , , ,2,1,3,2,1,1,4,3,3,1,3,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9, , ,1,1,1,1, ,1,3,3,3,2,1,4,3,4,3,2,2,2,2,2,1,2,1,1,1,1,1,4,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,4,9,4,2,2,3,2, ,4,1,1,1,6,5,12, ,3,6,2, ,2,4,2,1,4,2,2,2,1,4,4,1,1,4,2,2,2,1,1,1, ,1,1,1,.69609495545959,.707603572627479,.654948093153268
104689,9/9/2020 18:41:17,9/9/2020 18:59:17,2,1,2,1,1,2,1,2,1,3,3,4,3,4,1,3,3,1, , , , ,2,1,2,2,3,2,3,3,3,2,2,2,2,2,3,3,3,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2, , , ,99,1,1, ,1,1,4, , ,2,1,4,3,3,4,3,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,2,2,3,4,2,3,2,2, ,1,1,1,1,1,5,1,2,1,2,2, ,2,3,2,1,3,3,1,2,1,5,5,5,1,5,2,2,2,1,1,3, ,3,3,1,.275199793237647,.586160880417687,.710704192745332
104727,9/12/2020 12:29:43,9/12/2020 12:43:21,1,1,1,2,2,2,2,4,2,3,3,3,1,4,1,1,3,3, , , , ,3,1,1,4,1,5,5,5,5,5,5,1,1, ,1,3,3,3,3,3,3,1,4,4,4,4,4, , , , , , , , , ,0,4,1,2, ,1,2,3,3,2,1,4,3,4,2, , , , , ,3,2,4,4,4,4,4,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,2,2,3,3,1,3,2,2, ,1,1,1,1,1,1,2,2,2,5,1, ,1,1,9,1,2,2,2,1,2,4,2,2, , ,1, , ,3,3,3,3,3,3,3,1.59326938733719,2.92719410542891,3.27527372157731
104937,9/11/2020 16:35:52,9/12/2020 17:36:34,1,1,1,1,1,1,1,2,1,4,1,3,3,4,1,3,3,1, , , , ,2,1,2,3,2,1,4,3,2,1,3,2,2,3,2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,12, , ,1,1,2,1, ,2, , , ,1,1,2,2,2, , , , , , ,1,1,1,2,3,2,1,4,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,3,5,4,1,1,6,2, ,1,1,1,1,1,3,12, ,3,6,2, ,2,3,9,1,3,2,2,2,1,4,3,2, , ,2, , ,1,1,1,1,1,1,1,.135227960915703,.13253495671859,.141393389526767
105124,9/9/2020 19:13:31,9/9/2020 19:30:57,1,1,2,2,1,1,1,2,1,2,2,4,1,1, , , , ,3,3,3,3,1,2,1,2,4,5,5,5,5,5,5,1,3, ,1,3,3,3,3,3,3,1,1,2,3,2,1, , , , , , , , , ,0,4,3, ,2,1,4, , ,1,1,1,1,4,3,3,3,3,3,3,2,2,4,4,2,4,1,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,3,5,3,1,1,6,2, ,1,1,1,1,1,1,2,2,2,1,1, ,1,1,9,1,2,2,1, , , , , , , , , , , , , , , , ,1, ,.291046626184405,.288992543494073
105205,9/10/2020 0:40:14,9/10/2020 1:06:18,1,1,1,3,1,1,3,3,1,4,4,4,2,3,1,1,3,1, , , , ,3,1,2,2,1,5,5,3,5,1,5,1,3, ,1,3,3,3,3,3,3,4,3,4,4,4,4, , , , , , , , , ,0,4,2,2, ,2, , , ,2,1,3,1,4, , , , , , ,3,2,4,2,2,3,2,4,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,2,3,3,2,2,4,2, ,1,1,1,1,1,1,2,2,2,1,1, ,1,1,9,1,1,2,1, , , , , , , , , , , , , , , , ,2, ,.69828077181975,.601948318249152
105269,9/9/2020 17:24:26,9/9/2020 17:41:20,2,1,2,2,1,1,1,3,3,2,3,3,1,1, , , , ,3,2,3,3,2,1,3,3,1,2,2,3,5,2,1,2,3, ,1,3,1,1,1,1,3,2,2,2,3,2,3, , , , , , , , , ,0,2,1, ,2,1,2,2,3,1,1,2,3,3,3,3,2,3,1,2,2,2,3,1,1,3,1,3,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,2,4,4,1,1,6,2, ,1,1,1,1,1,1,2,2,2,3,3,2,2,3,2,1,3,2,2, , , , , , , , , , , , , , , , ,1, ,.367220820489231,.365076649978191
105959,9/9/2020 18:11:04,9/9/2020 18:32:37,1,1,1,2,2,3,1,3,1,4,2,4,1,3,1,3,2,1, , , , ,3,1,4,2,1,2,3,2,2,2,3,2,2,2,3,3,1,1,1,1,1,2,2,2,3,1,3,2,2,2,3,2,2,9, , ,1,2,1,1, ,1,4, , ,1,1,3,3,2,2, , , , , ,2,1,2,3,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2, , , , , , ,4,1,2,2,2,2,2,1,1,4,9,4,2,1,6,2, ,1,1,1,1,1,2,2,2,2,5,2, ,2,4,1,1,4,2,1, , , , , , , , , , , , , , , , ,1, ,.497102464772384,.467144583276129
